id,title,file_path
BR-FED-0001,Pétalas de rosa (Rosa spp).: uma fonte alternativa de nutrientes na alimentação,C:\Users\Vicente\prismaid\prismaid\projects\data_mining\downloads\BR-FED-0001_P_talas_de_rosa__Rosa_spp____uma_fonte_alternativa.pdf
BR-FED-0001,"Avaliação da implementação da resolução rdc 218/05, da Anvisa, e sua eficácia perante as unidades de comercialização de alimentos e bebidas, em Salvador - Ba",C:\Users\Vicente\prismaid\prismaid\projects\data_mining\downloads\BR-FED-0001_Avalia__o_da_implementa__o_da_resolu__o_rdc_218_05.pdf
BR-FED-0001,Os modelos de gestão de frota e suas vantagens competitivas - caso de estudo: BM Distribuidora de Bebidas Ltda.,C:\Users\Vicente\prismaid\prismaid\projects\data_mining\downloads\BR-FED-0001_Os_modelos_de_gest_o_de_frota_e_suas_vantagens_com.pdf
BR-FED-0001,Produção de fermentado de umbu (spondias Tuberosa arr. Cam.),C:\Users\Vicente\prismaid\prismaid\projects\data_mining\downloads\BR-FED-0001_Produ__o_de_fermentado_de_umbu__spondias_Tuberosa_.pdf
BR-FED-0001,"Lesões musculoesqueléticas em traumas por acidente motociclístico atendidos pelo Serviço de Atendimento Móvel de Urgência em Salvador, Bahia",C:\Users\Vicente\prismaid\prismaid\projects\data_mining\downloads\BR-FED-0001_Les_es_musculoesquel_ticas_em_traumas_por_acidente.pdf
BR-FED-0001,"Desenvolvimento de sistema de análise por injeção seqüencial para determinação espectrofotométrica da capacidade antioxidante em bebidas empregando o radical derivado do N-fenil-1, 4-fenilenodiamino",C:\Users\Vicente\prismaid\prismaid\projects\data_mining\downloads\BR-FED-0001_Desenvolvimento_de_sistema_de_an_lise_por_inje__o_.pdf
BR-FED-0001,"Lesões musculoesqueléticas em traumas por acidente motociclístico atendidos pelo Serviço de Atendimento Móvel de Urgência em Salvador, Bahia",C:\Users\Vicente\prismaid\prismaid\projects\data_mining\downloads\BR-FED-0001_Les_es_musculoesquel_ticas_em_traumas_por_acidente.pdf
BR-FED-0001,Promovendo o auto-cuidado no controle da hanseníase,C:\Users\Vicente\prismaid\prismaid\projects\data_mining\downloads\BR-FED-0001_Promovendo_o_auto-cuidado_no_controle_da_hansen_as.pdf
BR-FED-0001,Tabaco: a construção das políticas de controle sobre seu consumo no Brasil,C:\Users\Vicente\prismaid\prismaid\projects\data_mining\downloads\BR-FED-0001_Tabaco__a_constru__o_das_pol_ticas_de_controle_sob.pdf
BR-FED-0001,Emprego de polímeros com íons impressos para a pré-concentração e determinação de cádmio e chumbo,C:\Users\Vicente\prismaid\prismaid\projects\data_mining\downloads\BR-FED-0001_Emprego_de_pol_meros_com__ons_impressos_para_a_pr_.pdf
BR-FED-0001,"Alterações hepáticas em trabalhadores de uma refinaria de petróleo e em uma população de referência no Estado da Bahia, Brasil",C:\Users\Vicente\prismaid\prismaid\projects\data_mining\downloads\BR-FED-0001_Altera__es_hep_ticas_em_trabalhadores_de_uma_refin.pdf
BR-FED-0001,Efeitos do uso do álcool nos modos de existência de povos  indígenas do Brasil segundo contextos culturais: uma revisão de  literatura.,C:\Users\Vicente\prismaid\prismaid\projects\data_mining\downloads\BR-FED-0001_Efeitos_do_uso_do__lcool_nos_modos_de_exist_ncia_d.pdf
BR-FED-0001,"Aspectos históricos, nutricionais e gastronômicos do pequi (Caryocar brasiliense camb.)",C:\Users\Vicente\prismaid\prismaid\projects\data_mining\downloads\BR-FED-0001_Aspectos_hist_ricos__nutricionais_e_gastron_micos_.pdf
BR-FED-0001,Produção de molibdênio metálico a partir da molibdenita de Carnaíba (Bahia),C:\Users\Vicente\prismaid\prismaid\projects\data_mining\downloads\BR-FED-0001_Produ__o_de_molibd_nio_met_lico_a_partir_da_molibd.pdf
BR-FED-0001,"Caracterização da rocha fosfática de Angico dos Dias (BA) visando a recuperação de cério, lantânio e neodímio",C:\Users\Vicente\prismaid\prismaid\projects\data_mining\downloads\BR-FED-0001_Caracteriza__o_da_rocha_fosf_tica_de_Angico_dos_Di.pdf
BR-FED-0001,Desenvolvimento de queijo de coalho de cabra condimentado com bebidas alcoólicas,C:\Users\Vicente\prismaid\prismaid\projects\data_mining\downloads\BR-FED-0001_Desenvolvimento_de_queijo_de_coalho_de_cabra_condi.pdf
BR-FED-0001,ESPANHOL COM FINS PROFISSIONAIS/ESPECÍFICOS: O LÉXICO DA ALIMENTAÇÃO PAN-HISPÂNICA E SUA POSSÍVEL APLICAÇÃO DIDÁTICA NAS AULAS DE GASTRONOMIA,C:\Users\Vicente\prismaid\prismaid\projects\data_mining\downloads\BR-FED-0001_ESPANHOL_COM_FINS_PROFISSIONAIS_ESPEC_FICOS__O_L_X.pdf
BR-FED-0001,Hyhiéne na mulher em estado de gravidez,C:\Users\Vicente\prismaid\prismaid\projects\data_mining\downloads\BR-FED-0001_Hyhi_ne_na_mulher_em_estado_de_gravidez.pdf
BR-FED-0001,Fractura do radius e seu tratamento,C:\Users\Vicente\prismaid\prismaid\projects\data_mining\downloads\BR-FED-0001_Fractura_do_radius_e_seu_tratamento.pdf
BR-FED-0001,A linguagem indígena nas coleções biológicas: do popular ao científico,C:\Users\Vicente\prismaid\prismaid\projects\data_mining\downloads\BR-FED-0001_A_linguagem_ind_gena_nas_cole__es_biol_gicas__do_p.pdf
BR-FED-0001,Amargosa: do arrasta-pé ao axé,C:\Users\Vicente\prismaid\prismaid\projects\data_mining\downloads\BR-FED-0001_Amargosa__do_arrasta-p__ao_ax_.pdf
BR-FED-0001,"Aspectos históricos, nutricionais e gastronômicos do licuri e a inovação tecnológica no município de Caldeirão Grande – BA",C:\Users\Vicente\prismaid\prismaid\projects\data_mining\downloads\BR-FED-0001_Aspectos_hist_ricos__nutricionais_e_gastron_micos_.pdf
