link,collected_at,repo_id,repo_name,query,title,tag_matched_keywords,tag_matched_concepts,tag_is_duplicate,tag_duplicate_of,tag_topic_relevance_score,tag_topic_relevance_confidence,include,exclusion_reason
https://repositorio.ufba.br/handle/ri/9277,2026-02-11T10:01:46-03:00,BR-FED-0001,Repositório Institucional da UFBA,bebida feita de,Análise espacial da indústria de alimentos e bebidas no estado da Bahia,[],[],,,0,0.0144,false,Topic relevance score (0.00) below minimum threshold (0.10)
https://repositorio.ufba.br/handle/ri/17617,2026-02-11T10:01:46-03:00,BR-FED-0001,Repositório Institucional da UFBA,bebida feita de,Consumo de bebidas alcoólicas em trabalhadores de indústrias de calçados da Bahia,[],[],,,0,0.0144,false,Topic relevance score (0.00) below minimum threshold (0.10)
https://repositorio.ufba.br/handle/ri/38611,2026-02-11T10:01:46-03:00,BR-FED-0001,Repositório Institucional da UFBA,bebida feita de,Análise da produção de licores entre os anos de 2020 e 2021 no município de Cachoeira-Ba: os efeitos da pandemia de COVID-19 no comércio da bebida durante o período junino,[bebida],[],,,0.2,0.07600000000000001,true,
https://repositorio.ufba.br/handle/ri/3043,2026-02-11T10:01:46-03:00,BR-FED-0001,Repositório Institucional da UFBA,bebida feita de,Perfil sensorial de pó de cacau (Theobroma cacao L.) alcalinizado,[],[],,,0,0.012,false,Topic relevance score (0.00) below minimum threshold (0.10)
https://repositorio.ufba.br/handle/ri/36042,2026-02-11T10:01:46-03:00,BR-FED-0001,Repositório Institucional da UFBA,bebida feita de,"As denominações de cachaça: um estudo dialetocológico, etnolinguístico  e semântico cognitivo",[],[],,,0,0.013199999999999998,false,Topic relevance score (0.00) below minimum threshold (0.10)
https://repositorio.ufba.br/handle/ri/3787,2026-02-11T10:01:46-03:00,BR-FED-0001,Repositório Institucional da UFBA,bebida feita de,"Validação de métodos cromatográficos de análise - um experimento de fácil aplicação utilizando cromatografia líquida de alta eficiência (CLAE) e os princípios da ""Química Verde"" na determinação de metilxantinas em bebidas",[],[],,,0,0.0372,false,Topic relevance score (0.00) below minimum threshold (0.10)
https://repositorio.ufba.br/handle/ri/4215,2026-02-11T10:01:46-03:00,BR-FED-0001,Repositório Institucional da UFBA,bebida feita de,Cosméticos entram na faculdade de farmácia em 1973,[],[],,,0,0.0096,false,Topic relevance score (0.00) below minimum threshold (0.10)
https://repositorio.ufba.br/handle/ri/27948,2026-02-11T10:01:46-03:00,BR-FED-0001,Repositório Institucional da UFBA,bebida feita de,Pétalas de rosa (Rosa spp).: uma fonte alternativa de nutrientes na alimentação,[],[],,,0,0.0144,false,Topic relevance score (0.00) below minimum threshold (0.10)
https://repositorio.ufba.br/handle/ri/11109,2026-02-11T10:01:46-03:00,BR-FED-0001,Repositório Institucional da UFBA,bebida feita de,"Avaliação da implementação da resolução rdc 218/05, da Anvisa, e sua eficácia perante as unidades de comercialização de alimentos e bebidas, em Salvador - Ba",[],[],,,0,0.03,false,Topic relevance score (0.00) below minimum threshold (0.10)
https://repositorio.ufba.br/handle/ri/9463,2026-02-11T10:01:46-03:00,BR-FED-0001,Repositório Institucional da UFBA,bebida feita de,Os modelos de gestão de frota e suas vantagens competitivas - caso de estudo: BM Distribuidora de Bebidas Ltda.,[],[],,,0,0.022799999999999997,false,Topic relevance score (0.00) below minimum threshold (0.10)
