repo_id,repo_name,query,title,link,collected_at
BR-FED-0001,Repositório Institucional da UFBA,bebida feita de,"Avaliação da implementação da resolução rdc 218/05, da Anvisa, e sua eficácia perante as unidades de comercialização de alimentos e bebidas, em Salvador - Ba",https://repositorio.ufba.br/handle/ri/11109,2026-02-11T10:01:46-03:00
BR-FED-0001,Repositório Institucional da UFBA,bebida feita de,Os modelos de gestão de frota e suas vantagens competitivas - caso de estudo: BM Distribuidora de Bebidas Ltda.,https://repositorio.ufba.br/handle/ri/9463,2026-02-11T10:01:46-03:00
BR-FED-0001,Repositório Institucional da UFBA,bebida feita de,Produção de fermentado de umbu (spondias Tuberosa arr. Cam.),https://repositorio.ufba.br/handle/ri/8788,2026-02-11T10:01:46-03:00
BR-FED-0001,Repositório Institucional da UFBA,bebida feita de,"Lesões musculoesqueléticas em traumas por acidente motociclístico atendidos pelo Serviço de Atendimento Móvel de Urgência em Salvador, Bahia",https://repositorio.ufba.br/handle/ri/17172,2026-02-11T10:01:46-03:00
BR-FED-0001,Repositório Institucional da UFBA,bebida feita de,"Desenvolvimento de sistema de análise por injeção seqüencial para determinação espectrofotométrica da capacidade antioxidante em bebidas empregando o radical derivado do N-fenil-1, 4-fenilenodiamino",https://repositorio.ufba.br/handle/ri/15802,2026-02-11T10:01:46-03:00
BR-FED-0001,Repositório Institucional da UFBA,bebida feita de,"Lesões musculoesqueléticas em traumas por acidente motociclístico atendidos pelo Serviço de Atendimento Móvel de Urgência em Salvador, Bahia",https://repositorio.ufba.br/handle/ri/17527,2026-02-11T10:01:46-03:00
BR-FED-0001,Repositório Institucional da UFBA,bebida feita de,Promovendo o auto-cuidado no controle da hanseníase,https://repositorio.ufba.br/handle/ri/1774,2026-02-11T10:01:46-03:00
BR-FED-0001,Repositório Institucional da UFBA,bebida feita de,Tabaco: a construção das políticas de controle sobre seu consumo no Brasil,https://repositorio.ufba.br/handle/ri/29403,2026-02-11T10:01:46-03:00
BR-FED-0001,Repositório Institucional da UFBA,bebida feita de,Emprego de polímeros com íons impressos para a pré-concentração e determinação de cádmio e chumbo,https://repositorio.ufba.br/handle/ri/33915,2026-02-11T10:01:46-03:00
BR-FED-0001,Repositório Institucional da UFBA,bebida feita de,"Alterações hepáticas em trabalhadores de uma refinaria de petróleo e em uma população de referência no Estado da Bahia, Brasil",https://repositorio.ufba.br/handle/ri/16677,2026-02-11T10:01:46-03:00
