file,status,error
[UFC-7_441afd419b28a579724a7123cae5808d]_Fermenta____o_alco__lica_do_suco_de_caju__anacardi.pdf,ok,"2026/02/19 20:54:34 Starting conversion: %s (format=%s) c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_441afd419b28a579724a7123cae5808d]_Fermenta____o_alco__lica_do_suco_de_caju__anacardi.pdf pdf 2026/02/19 20:54:35 Successfully wrote to %s c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_441afd419b28a579724a7123cae5808d]_Fermenta____o_alco__lica_do_suco_de_caju__anacardi.txt 2026/02/19 20:54:35 Finished conversion: %s (format=%s, tika=%t, duration=%s) c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_441afd419b28a579724a7123cae5808d]_Fermenta____o_alco__lica_do_suco_de_caju__anacardi.pdf pdf false 1.1180664s 2026/02/19 20:54:35 Successfully converted file %s to txt (source=pdf)  c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_441afd419b28a579724a7123cae5808d]_Fermenta____o_alco__lica_do_suco_de_caju__anacardi.pdf"
[UFC-7_531d9351177cc07dc912496adfe00c14]_Efeito_do_extrato_do_baga__o_do_pend__culo_de_caju.pdf,ok,"2026/02/19 20:54:35 Starting conversion: %s (format=%s) c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_531d9351177cc07dc912496adfe00c14]_Efeito_do_extrato_do_baga__o_do_pend__culo_de_caju.pdf pdf 2026/02/19 20:54:35 Successfully wrote to %s c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_531d9351177cc07dc912496adfe00c14]_Efeito_do_extrato_do_baga__o_do_pend__culo_de_caju.txt 2026/02/19 20:54:35 Finished conversion: %s (format=%s, tika=%t, duration=%s) c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_531d9351177cc07dc912496adfe00c14]_Efeito_do_extrato_do_baga__o_do_pend__culo_de_caju.pdf pdf false 330.8516ms 2026/02/19 20:54:35 Successfully converted file %s to txt (source=pdf)  c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_531d9351177cc07dc912496adfe00c14]_Efeito_do_extrato_do_baga__o_do_pend__culo_de_caju.pdf"
[UFC-7_5d88fd420edeb8e8f9de2cf22f0702dc]_Atividades_antioxidante__anti_inflamat__ria_e_cica.pdf,ok,"2026/02/19 20:54:35 Starting conversion: %s (format=%s) c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_5d88fd420edeb8e8f9de2cf22f0702dc]_Atividades_antioxidante__anti_inflamat__ria_e_cica.pdf pdf 2026/02/19 20:54:36 Successfully wrote to %s c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_5d88fd420edeb8e8f9de2cf22f0702dc]_Atividades_antioxidante__anti_inflamat__ria_e_cica.txt 2026/02/19 20:54:36 Finished conversion: %s (format=%s, tika=%t, duration=%s) c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_5d88fd420edeb8e8f9de2cf22f0702dc]_Atividades_antioxidante__anti_inflamat__ria_e_cica.pdf pdf false 441.3281ms 2026/02/19 20:54:36 Successfully converted file %s to txt (source=pdf)  c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_5d88fd420edeb8e8f9de2cf22f0702dc]_Atividades_antioxidante__anti_inflamat__ria_e_cica.pdf"
[UFC-7_6d20213f8e4e63e8e4b1b40a0fb8ac44]_Estudo_da_viabilidade_da_produ____o_de_etanol_a_pa.pdf,ok,"2026/02/19 20:54:36 Starting conversion: %s (format=%s) c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_6d20213f8e4e63e8e4b1b40a0fb8ac44]_Estudo_da_viabilidade_da_produ____o_de_etanol_a_pa.pdf pdf 2026/02/19 20:54:36 Successfully wrote to %s c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_6d20213f8e4e63e8e4b1b40a0fb8ac44]_Estudo_da_viabilidade_da_produ____o_de_etanol_a_pa.txt 2026/02/19 20:54:36 Finished conversion: %s (format=%s, tika=%t, duration=%s) c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_6d20213f8e4e63e8e4b1b40a0fb8ac44]_Estudo_da_viabilidade_da_produ____o_de_etanol_a_pa.pdf pdf false 567.7013ms 2026/02/19 20:54:36 Successfully converted file %s to txt (source=pdf)  c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_6d20213f8e4e63e8e4b1b40a0fb8ac44]_Estudo_da_viabilidade_da_produ____o_de_etanol_a_pa.pdf"
[UFC-7_6f368b8a2a062636fc33aafcdfe01967]_Efeito_do_processamento_sobre_caracter__sticas_de_.pdf,ok,"2026/02/19 20:54:36 Starting conversion: %s (format=%s) c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_6f368b8a2a062636fc33aafcdfe01967]_Efeito_do_processamento_sobre_caracter__sticas_de_.pdf pdf 2026/02/19 20:54:37 Successfully wrote to %s c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_6f368b8a2a062636fc33aafcdfe01967]_Efeito_do_processamento_sobre_caracter__sticas_de_.txt 2026/02/19 20:54:37 Finished conversion: %s (format=%s, tika=%t, duration=%s) c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_6f368b8a2a062636fc33aafcdfe01967]_Efeito_do_processamento_sobre_caracter__sticas_de_.pdf pdf false 465.0993ms 2026/02/19 20:54:37 Successfully converted file %s to txt (source=pdf)  c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_6f368b8a2a062636fc33aafcdfe01967]_Efeito_do_processamento_sobre_caracter__sticas_de_.pdf"
[UFC-7_84aacb2d22ca7ab512b6298546fad251]_Efeito_prebi__tico_de_suco_de_caju__Anacardium_occ.pdf,ok,"2026/02/19 20:54:37 Starting conversion: %s (format=%s) c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_84aacb2d22ca7ab512b6298546fad251]_Efeito_prebi__tico_de_suco_de_caju__Anacardium_occ.pdf pdf 2026/02/19 20:54:38 Successfully wrote to %s c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_84aacb2d22ca7ab512b6298546fad251]_Efeito_prebi__tico_de_suco_de_caju__Anacardium_occ.txt 2026/02/19 20:54:38 Finished conversion: %s (format=%s, tika=%t, duration=%s) c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_84aacb2d22ca7ab512b6298546fad251]_Efeito_prebi__tico_de_suco_de_caju__Anacardium_occ.pdf pdf false 938.0324ms 2026/02/19 20:54:38 Successfully converted file %s to txt (source=pdf)  c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_84aacb2d22ca7ab512b6298546fad251]_Efeito_prebi__tico_de_suco_de_caju__Anacardium_occ.pdf"
[UFC-7_859d4dc7b28bc4d2d48691daf939286a]_Elabora____o__caracteriza____o_f__sico_qu__mica_e_.pdf,ok,"2026/02/19 20:54:38 Starting conversion: %s (format=%s) c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_859d4dc7b28bc4d2d48691daf939286a]_Elabora____o__caracteriza____o_f__sico_qu__mica_e_.pdf pdf 2026/02/19 20:54:38 Successfully wrote to %s c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_859d4dc7b28bc4d2d48691daf939286a]_Elabora____o__caracteriza____o_f__sico_qu__mica_e_.txt 2026/02/19 20:54:38 Finished conversion: %s (format=%s, tika=%t, duration=%s) c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_859d4dc7b28bc4d2d48691daf939286a]_Elabora____o__caracteriza____o_f__sico_qu__mica_e_.pdf pdf false 92.7999ms 2026/02/19 20:54:38 Successfully converted file %s to txt (source=pdf)  c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_859d4dc7b28bc4d2d48691daf939286a]_Elabora____o__caracteriza____o_f__sico_qu__mica_e_.pdf"
[UFC-7_85fb59ad86b275bbe7419c59c76906e1]_Efeito_esofagoprotetor_de_um_biopol__mero__a_goma_.pdf,ok,"2026/02/19 20:54:38 Starting conversion: %s (format=%s) c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_85fb59ad86b275bbe7419c59c76906e1]_Efeito_esofagoprotetor_de_um_biopol__mero__a_goma_.pdf pdf 2026/02/19 20:54:39 Successfully wrote to %s c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_85fb59ad86b275bbe7419c59c76906e1]_Efeito_esofagoprotetor_de_um_biopol__mero__a_goma_.txt 2026/02/19 20:54:39 Finished conversion: %s (format=%s, tika=%t, duration=%s) c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_85fb59ad86b275bbe7419c59c76906e1]_Efeito_esofagoprotetor_de_um_biopol__mero__a_goma_.pdf pdf false 1.0070114s 2026/02/19 20:54:39 Successfully converted file %s to txt (source=pdf)  c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_85fb59ad86b275bbe7419c59c76906e1]_Efeito_esofagoprotetor_de_um_biopol__mero__a_goma_.pdf"
[UFC-7_988e31ac1a02682de181c8e8cb031007]_Caracteriza____o_e_estudo_da_aplicabilidade_do_bio.pdf,ok,"2026/02/19 20:54:40 Starting conversion: %s (format=%s) c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_988e31ac1a02682de181c8e8cb031007]_Caracteriza____o_e_estudo_da_aplicabilidade_do_bio.pdf pdf 2026/02/19 20:54:41 Successfully wrote to %s c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_988e31ac1a02682de181c8e8cb031007]_Caracteriza____o_e_estudo_da_aplicabilidade_do_bio.txt 2026/02/19 20:54:41 Finished conversion: %s (format=%s, tika=%t, duration=%s) c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_988e31ac1a02682de181c8e8cb031007]_Caracteriza____o_e_estudo_da_aplicabilidade_do_bio.pdf pdf false 1.2970762s 2026/02/19 20:54:41 Successfully converted file %s to txt (source=pdf)  c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_988e31ac1a02682de181c8e8cb031007]_Caracteriza____o_e_estudo_da_aplicabilidade_do_bio.pdf"
[UFC-7_bb347466f0ae18399a2a091a79cd7b26]_Desidrata____o_de_polpa_de_manga_e_suco_de_caju_in.pdf,ok,"2026/02/19 20:54:41 Starting conversion: %s (format=%s) c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_bb347466f0ae18399a2a091a79cd7b26]_Desidrata____o_de_polpa_de_manga_e_suco_de_caju_in.pdf pdf 2026/02/19 20:54:41 No text rows found on page %d 4 2026/02/19 20:54:42 No text rows found on page %d 51 2026/02/19 20:54:43 Successfully wrote to %s c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_bb347466f0ae18399a2a091a79cd7b26]_Desidrata____o_de_polpa_de_manga_e_suco_de_caju_in.txt 2026/02/19 20:54:43 Finished conversion: %s (format=%s, tika=%t, duration=%s) c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_bb347466f0ae18399a2a091a79cd7b26]_Desidrata____o_de_polpa_de_manga_e_suco_de_caju_in.pdf pdf false 1.8058337s 2026/02/19 20:54:43 Successfully converted file %s to txt (source=pdf)  c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_bb347466f0ae18399a2a091a79cd7b26]_Desidrata____o_de_polpa_de_manga_e_suco_de_caju_in.pdf"
